frame_id,variant,N_orig,N_vox,n_channels,prelude_ms,forward_ms,inverse_ms,total_raht_ms
1,pytorch,256906,169854,35,30.156321000049502,66.9060669999908,63.25336800000514,160.31575600004544
1,cuda,256906,169854,35,11.53679000003649,14.65943799996694,29.96723200010365,56.16346000010708
11,pytorch,256911,175034,35,29.20556200001556,66.89675500001613,63.654555999960394,159.75687299999208
11,cuda,256911,175034,35,11.367317999997795,14.84174399990934,36.23908999998093,62.44815199988807
21,pytorch,256934,177892,35,29.007482999986678,67.06661799989888,66.97394599996187,163.04804699984743
21,cuda,256934,177892,35,11.89135399999941,15.074033000018972,33.02037699995708,59.98576399997546
31,pytorch,256966,180254,35,29.320156999915525,69.52186899991375,64.55287200003568,163.39489799986495
31,cuda,256966,180254,35,11.634744999923896,15.196211999978004,37.11154699999497,63.94250399989687
41,pytorch,257007,182201,35,28.725403000066763,67.89258200001314,66.1559610000495,162.7739460001294
41,cuda,257007,182201,35,11.887035000086144,15.375509000023158,36.0597000000098,63.3222440001191
51,pytorch,257043,183764,35,28.991292999990037,68.05536700005632,67.4709800000528,164.51764000009916
51,cuda,257043,183764,35,11.998492999964583,15.512374999957501,29.89946200000304,57.410329999925125
61,pytorch,257068,185355,35,29.12742499995602,68.87278700003208,65.43435999992653,163.43457199991462
61,cuda,257068,185355,35,11.818011000059414,15.651416999958201,37.96294799997213,65.43237599998974
71,pytorch,257105,186664,35,29.201792999970166,69.23931700009689,67.48676200004411,165.92787200011117
71,cuda,257105,186664,35,12.101022000024386,15.686265999988791,32.936736999999994,60.72402500001317
81,pytorch,257125,187707,35,29.2383080000036,68.84207200005221,65.3494690000116,163.4298490000674
81,cuda,257125,187707,35,12.042334000057053,15.82137100001546,29.71872800003439,57.5824330001069
91,pytorch,257178,189151,35,29.342276999955175,69.40886100005628,67.83803400003308,166.58917200004453
91,cuda,257178,189151,35,11.993790000019544,15.909854000028645,35.7042809999939,63.60792500004209
101,pytorch,257290,190481,35,29.067429000065204,70.240584999965,65.86144599998534,165.16946000001553
101,cuda,257290,190481,35,12.071199000047272,16.006494000066596,33.478438999964055,61.55613200007792
111,pytorch,257403,191616,35,28.903618999947867,69.69734899996638,68.13570600002095,166.7366739999352
111,cuda,257403,191616,35,12.05251099997895,16.07715099999041,31.69941999999537,59.82908199996473
121,pytorch,257475,192772,35,29.393928999979835,69.5633689999795,66.14906999993764,165.10636799989697
121,cuda,257475,192772,35,11.949566999987837,16.26457700001538,29.86791799992261,58.08206199992583
131,pytorch,257554,193480,35,29.68602800001463,72.4656639999921,66.85669399996641,169.00838599997314
131,cuda,257554,193480,35,12.22035400007826,16.19629000003897,36.7895109999381,65.20615500005533
141,pytorch,257667,194651,35,29.15469800007031,70.45221399994261,66.11806599994452,165.72497799995745
141,cuda,257667,194651,35,11.996576000001369,16.32173099994816,30.311794999988706,58.63010199993823
151,pytorch,257766,195409,35,29.286027000011927,70.05208199996105,68.7719789999619,168.11008799993488
151,cuda,257766,195409,35,12.156322999999247,16.379557000050227,37.10257199998068,65.63845200003016
161,pytorch,257817,196297,35,29.19703700001719,70.07420000002185,67.00924799997665,166.2804850000157
161,cuda,257817,196297,35,11.907008999969548,16.378405000068597,32.12758799998028,60.41300200001842
171,pytorch,257925,196887,35,29.188973000032092,70.09928800005127,66.68755199996212,165.9758130000455
171,cuda,257925,196887,35,12.064610000038556,16.386981999971795,39.88275799997609,68.33434999998644
181,pytorch,258080,198061,35,29.280911000000742,70.52864100000988,66.76445100004003,166.57400300005065
181,cuda,258080,198061,35,12.052258000039728,16.494342999976652,33.3505440000863,61.89714500010268
191,pytorch,258184,198569,35,29.409169000018665,71.39543199991749,67.07674599999791,167.88134699993407
191,cuda,258184,198569,35,12.313221999988855,16.525000000001455,30.642300999943473,59.48052299993378
201,pytorch,258303,199354,35,29.127761000040664,71.47668599998269,67.37422100002277,167.97866800004613
201,cuda,258303,199354,35,12.225413000010121,16.605960999982017,36.73198399997091,65.56335799996305
211,pytorch,258441,199953,35,29.242417000091336,71.10122799997498,67.42801799998688,167.7716630000532
211,cuda,258441,199953,35,12.199301000009655,16.5836590000481,39.48525700002392,68.26821700008168
221,pytorch,258578,200579,35,29.45880599997963,71.09332799996082,66.80919699999777,167.36133099993822
221,cuda,258578,200579,35,12.064933000033307,16.668234999997367,36.47070400006669,65.20387200009736
231,pytorch,258663,201302,35,29.31051699999898,71.51637499998742,67.25400499999523,168.08089699998163
231,cuda,258663,201302,35,12.345256000003246,16.666571999962798,40.6438940000271,69.65572199999315
241,pytorch,258755,201813,35,29.582680999965305,71.40012100001059,67.50652000005175,168.48932200002764
241,cuda,258755,201813,35,12.371079999979884,16.82318200005284,31.24131899994609,60.43558099997881
251,pytorch,258847,202667,35,29.60303300005762,72.53079100007653,68.03072100001373,170.16454500014788
251,cuda,258847,202667,35,13.080494999940129,16.90878400006568,38.911146000032204,68.90042500003801
261,pytorch,258933,203221,35,29.36792899993179,71.91501099998732,68.0362249999007,169.3191649998198
261,cuda,258933,203221,35,12.206727000034334,16.939023000077214,41.057532000081665,70.20328200019321
271,pytorch,258999,203497,35,29.655901000069207,71.95760799993423,67.79494900001737,169.4084580000208
271,cuda,258999,203497,35,12.312201000099776,16.918799999984913,31.57268600000407,60.80368700008876
281,pytorch,259151,204419,35,29.26847500009444,71.81459900004938,67.91274099998645,168.99581500013028
281,cuda,259151,204419,35,12.455466999995224,16.923024999982772,36.083157000007304,65.4616489999853
291,pytorch,259429,204943,35,29.238203999966572,71.72865199993339,68.2692609999549,169.23611699985486
291,cuda,259429,204943,35,12.235594000003402,16.997010000068258,38.21133799999643,67.44394200006809
